uid	Gender	Age	Qualification	Nationality	BornIn	ParentsBornIn	Income	EMP1	EMP2	EMP3	EMP4	EMP5	EMP6	EMP7	EMP8	BIG1	BIG2	BIG3	BIG4	BIG5	BIG6	BIG7	BIG8	BIG9	BIG10	IPO1	IPO2	IPO3	IPO4	IPO5	IPO6	IPO7	IPO8	IPO9	IPO10	IPO11	IPO12	EMO1	EMO2	EMO3	EMO4	EMO5	EMO6	EMO7	EMO8	EMO9	EMO10	EMO11	EMO12	EMO13	EMO14	MED1	MED2	MED3	MED4	MED5	MED6	MED7	MED8	MED9	PPA1	PPA2	PPA3	PPA4	PPA5	PPA6	PPA7	PPA8	PPO1	PPO2	PPO3	PPO4	PPO5	PPO6	Republican	Democrat	POL1	POL2	POL3	POL4	POL5	POL6	POL7	POL8	POL9	PRO1	PRO2	PRO3	PRO4	PRO5
U4439	1	49	4	0	0	0	5	4	5	5	3	4	3	3	5	2	5	4	4	5	5	5	2	3	3	2	5	5	4	3	3	4	2	4	3	2	3	4	3	3	3	2	1	3	3	3	3	2	2	1	3	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	6	6	6	5	5	5	26	40	4	1	1	1	1	1	1	1	1	3	1	0.0	3	1
U4440	1	64	3	0	0	0	3	5	5	4	4	4	5	5	5	5	4	6	4	3	2	5	1	4	5	1	7	1	7	4	4	7	3	4	2	2	5	5	2	4	2	4	1	3	2	1	1	1	2	3	1	1	3	3	1	1	1	1	1	1	1	5	1	1	1	1	1	1	5	7	4	6	7	6	64	39	6	1	1	1	1	1	3	1	1	2	1	0.0	2	7
U4442	1	49	5	0	0	0	2	7	7	7	7	7	7	7	7	5	1	7	3	7	3	7	1	5	1	7	1	7	1	7	1	1	7	7	7	1	7	1	1	1	4	1	1	1	4	7	7	4	7	6	5	7	7	3	1	4	2	2	7	4	5	7	7	7	5	2	5	5	4	4	7	6	4	5	0	100	2	7	7	7	7	5	5	5	5	7	7	100.0	7	6
U4445	1	48	3	0	0	0	1	4	7	7	7	5	5	7	7	3	1	6	2	7	7	7	2	6	3	5	1	7	1	7	1	1	7	1	7	1	7	1	1	1	3	1	1	1	3	6	7	4	6	4	5	7	7	2	1	6	1	1	1	1	7	7	6	7	6	6	6	5	6	7	7	5	5	4	0	100	1	7	7	7	7	5	7	7	7	7	7	25.0	3	3
U4447	1	46	4	0	0	0	2	5	6	6	5	6	4	6	6	3	1	6	1	5	3	6	1	6	3	2	3	2	2	1	3	3	1	2	1	2	3	2	5	2	1	2	2	2	2	2	2	2	2	2	2	3	7	5	6	1	1	1	1	1	2	2	2	3	1	2	2	2	5	4	4	3	2	3	73	17	6	1	4	4	3	4	1	1	1	2	2	0.0	1	1
U4448	1	52	3	0	0	0	3	5	6	5	5	6	4	3	3	2	6	4	6	5	5	3	5	3	5	1	6	2	2	2	4	5	3	2	2	3	2	4	5	4	2	3	1	2	4	4	2	2	2	1	2	5	5	2	3	3	2	2	2	2	4	3	3	3	2	4	2	2	3	4	4	4	5	3	33	22	4	5	5	4	4	4	4	5	4	2	4	0.0	1	1
U4449	1	49	4	0	0	0	3	7	7	7	7	7	7	7	7	7	1	7	1	7	1	7	1	7	1	3	5	4	5	4	4	4	4	4	4	4	4	2	3	3	3	3	1	1	3	3	2	2	3	3	4	7	7	7	7	7	6	7	7	6	7	4	7	7	4	4	4	4	7	7	7	4	7	7	28	43	6	7	7	7	7	7	7	7	7	5	4	50.0	1	1
U4451	1	52	3	0	1	1	3	4	7	6	7	2	2	5	5	4	2	6	1	7	7	6	1	6	4	2	6	4	7	6	4	7	4	6	4	4	4	2	2	2	6	2	2	2	6	4	4	4	4	4	4	1	2	1	4	1	1	1	1	5	1	1	1	1	1	2	1	1	5	2	4	2	5	2	100	0	11	2	4	4	1	1	2	2	2	6	4	0.0	1	1
U4453	1	53	4	0	0	0	4	6	6	5	6	6	6	5	6	4	1	6	2	6	4	6	2	6	5	2	5	2	5	4	3	6	4	3	5	2	6	4	4	4	4	4	1	1	4	3	4	4	4	1	4	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	0	0	6	1	1	1	1	1	1	1	1	6	4	100.0	2	2
U4455	1	49	4	0	0	0	1	4	7	6	5	4	7	6	6	6	2	6	1	7	3	5	1	5	4	4	2	5	4	6	1	4	6	1	5	1	7	1	1	4	4	1	1	3	3	5	3	5	6	6	4	6	7	2	3	3	3	2	5	6	4	4	4	4	4	4	4	4	5	4	6	4	3	4	15	92	5	7	5	7	6	4	5	5	6	4	4	100.0	5	6
