uid	Gender	Age	Qualification	Nationality	BornIn	ParentsBornIn	Income	EMP1	EMP2	EMP3	EMP4	EMP5	EMP6	EMP7	EMP8	BIG1	BIG2	BIG3	BIG4	BIG5	IPO1	IPO2	IPO3	IPO4	IPO5	IPO6	IPO7	IPO8	IPO9	IPO10	IPO11	IPO12	EMO1	EMO2	EMO3	EMO4	EMO5	EMO6	EMO7	EMO8	EMO9	EMO10	EMO11	EMO12	EMO13	EMO14	MED1	MED2	MED3	MED4	MED5	MED6	MED7	MED8	MED9	PPA1	PPA2	PPA3	PPA4	PPA5	PPA6	PPA7	PPA8	PPO1	PPO2	PPO3	PPO4	PPO5	PPO6	CDU	SPD	GRU	FDP	LIN	AFD	POL1	POL2	POL3	POL4	POL5	POL6	POL7	POL8	POL9	PRO1	PRO2	PRO3	PRO4	PRO5
U4971	0	40	1	0	0	0	1	4	6	7	3	5	4	3	6	4	5	4	6	3	1	7	2	5	3	5	5	3	4	3	2	5	1	3	4	1	1	1	1	2	3	1	1	1	1	1	4	6	5	4	6	4	2	5	6	1	1	2	1	1	1	1	1	6	4	4	7	6	7	7	60	0	50	0	75	7	4	5	6	5	4	5	5	5	4	4	0.0	1	1
U4974	1	69	4	0	0	0	0	6	7	5	4	4	3	2	6	4	3	3	6	4	7	1	5	1	5	1	1	7	1	7	1	7	1	1	1	1	1	1	1	5	7	3	1	5	1	1	6	7	3	1	1	1	1	1	1	1	7	1	1	5	4	3	1	1	1	1	7	5	4	29	60	61	0	91	0	2	7	7	7	6	4	7	7	7	7	4	10.0	4	7
U4981	1	34	1	0	0	0	0	5	5	6	4	5	4	4	6	3	4	2	6	3	2	5	4	3	5	3	3	5	3	5	4	5	2	3	1	4	1	2	1	5	4	4	4	4	3	3	7	7	6	5	4	2	1	2	3	5	4	4	4	1	1	3	4	4	3	4	6	5	6	22	83	60	36	93	0	2	4	5	6	4	1	3	3	3	4	5	0.0	1	1
U4982	1	46	1	0	0	0	0	7	7	7	7	7	7	7	7	1	7	7	7	1	1	7	7	7	6	4	7	7	4	4	4	7	1	1	1	1	1	1	1	1	7	5	6	7	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	7	7	7	7	100	31	84	100	33	91	11	1	1	1	1	1	1	1	1	7	1	5.0	1	1
U4984	0	55	1	0	0	0	3	5	4	5	3	5	5	5	5	2	6	6	6	1	1	6	1	6	4	4	6	2	6	2	5	2	6	6	5	2	5	6	4	2	2	1	1	2	2	2	2	7	6	2	2	2	2	6	2	2	2	2	2	1	2	2	1	6	5	6	6	6	7	100	32	0	60	0	60	10	6	6	6	6	4	6	6	6	1	1	0.0	2	2
U447	0	46	2	0	0	0	0	3	5	5	4	4	3	4	5	7	7	4	6	3	7	1	7	1	7	2	1	7	1	6	1	7	1	1	1	4	1	1	1	5	5	4	3	2	3	1	1	7	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	5	5	6	5	38	48	72	19	14	0	6	6	6	6	5	5	3	3	3	6	5	25.0	1	5
U4985	0	33	4	1	0	3	3	7	7	7	6	5	4	6	7	2	3	1	2	1	1	7	2	5	4	2	6	1	1	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	3	1	1	5	4	5	2	7	1	5	1	1	7	1	1	5	4	4	5	5	6	70	70	70	41	74	7	3	5	6	6	6	5	6	6	6	5	1	5.0	7	7
U4988	0	70	2	0	0	0	1	2	6	5	3	3	4	5	3	5	7	6	6	2	2	2	6	5	3	6	2	2	2	6	2	6	1	4	1	2	6	1	1	4	6	6	6	7	1	2	1	7	7	1	1	1	4	3	1	1	3	3	6	2	3	1	2	5	6	7	6	6	4	72	61	44	67	41	0	6	6	7	7	1	3	4	3	4	4	4	15.0	2	1
U4989	0	70	1	0	0	0	2	7	7	7	7	7	7	7	7	4	7	4	7	1	1	5	4	4	5	7	1	4	5	4	5	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	7	2	1	1	1	1	3	1	1	4	7	1	1	1	1	1	5	5	4	6	7	6	34	74	50	50	19	1	6	7	7	7	7	4	7	7	7	7	1	0.0	1	4
U4994	1	23	4	0	0	0	6	5	7	7	6	6	5	5	5	4	2	2	6	3	3	5	4	3	4	4	5	3	2	5	2	6	1	2	1	5	2	1	3	4	6	5	4	5	3	4	1	4	1	1	1	1	1	1	1	1	5	1	1	1	2	1	1	6	4	5	7	6	7	67	67	44	35	17	0	6	3	3	4	2	2	5	2	4	5	2	10.0	1	1
