id,topic,topic_label
326,-1,mehr_menschen_deutschland_wurde
327,16,syrien_syrischen_idlib_al
328,-1,mehr_menschen_deutschland_wurde
329,22,afghanistan_taliban_afghanen_kabul
330,8,deutschland_wurde_sagt_familie
331,0,grenze_belarus_polen_eu
332,-1,mehr_menschen_deutschland_wurde
333,0,grenze_belarus_polen_eu
334,-1,mehr_menschen_deutschland_wurde
335,-1,mehr_menschen_deutschland_wurde
336,5,mexiko_trump_us_usa
337,23,deutschland_anträge_000_prozent
338,10,russland_putin_ukraine_russischen
339,9,täter_wurde_polizei_mann
340,-1,mehr_menschen_deutschland_wurde
341,1,libyen_sea_bord_schiff
342,5,mexiko_trump_us_usa
343,2,eu_brexit_europäischen_europa
344,23,deutschland_anträge_000_prozent
345,-1,mehr_menschen_deutschland_wurde
346,-1,mehr_menschen_deutschland_wurde
347,-1,mehr_menschen_deutschland_wurde
348,18,türkei_griechenland_griechischen_migranten
349,0,grenze_belarus_polen_eu
350,7,moria_lesbos_griechischen_lager
351,3,prozent_000_deutschland_mehr
352,22,afghanistan_taliban_afghanen_kabul
353,8,deutschland_wurde_sagt_familie
354,0,grenze_belarus_polen_eu
355,-1,mehr_menschen_deutschland_wurde
356,-1,mehr_menschen_deutschland_wurde
357,6,corona_pandemie_menschen_covid
358,15,taliban_afghanistan_kabul_us
359,-1,mehr_menschen_deutschland_wurde
360,-1,mehr_menschen_deutschland_wurde
361,4,türkei_eu_erdogan_türkische
362,-1,mehr_menschen_deutschland_wurde
363,18,türkei_griechenland_griechischen_migranten
364,12,deutschland_menschen_deutschen_mehr
365,-1,mehr_menschen_deutschland_wurde
366,1,libyen_sea_bord_schiff
367,-1,mehr_menschen_deutschland_wurde
368,0,grenze_belarus_polen_eu
369,18,türkei_griechenland_griechischen_migranten
370,-1,mehr_menschen_deutschland_wurde
371,18,türkei_griechenland_griechischen_migranten
372,12,deutschland_menschen_deutschen_mehr
373,-1,mehr_menschen_deutschland_wurde
374,18,türkei_griechenland_griechischen_migranten
375,0,grenze_belarus_polen_eu
376,4,türkei_eu_erdogan_türkische
377,-1,mehr_menschen_deutschland_wurde
378,0,grenze_belarus_polen_eu
379,22,afghanistan_taliban_afghanen_kabul
380,-1,mehr_menschen_deutschland_wurde
381,7,moria_lesbos_griechischen_lager
382,5,mexiko_trump_us_usa
383,0,grenze_belarus_polen_eu
384,-1,mehr_menschen_deutschland_wurde
385,21,islam_deutschland_muslime_sei
386,-1,mehr_menschen_deutschland_wurde
387,-1,mehr_menschen_deutschland_wurde
388,-1,mehr_menschen_deutschland_wurde
389,0,grenze_belarus_polen_eu
390,10,russland_putin_ukraine_russischen
391,0,grenze_belarus_polen_eu
392,2,eu_brexit_europäischen_europa
393,-1,mehr_menschen_deutschland_wurde
394,8,deutschland_wurde_sagt_familie
395,-1,mehr_menschen_deutschland_wurde
396,15,taliban_afghanistan_kabul_us
397,-1,mehr_menschen_deutschland_wurde
398,5,mexiko_trump_us_usa
399,-1,mehr_menschen_deutschland_wurde
400,0,grenze_belarus_polen_eu
401,-1,mehr_menschen_deutschland_wurde
402,-1,mehr_menschen_deutschland_wurde
403,16,syrien_syrischen_idlib_al
404,0,grenze_belarus_polen_eu
405,10,russland_putin_ukraine_russischen
406,-1,mehr_menschen_deutschland_wurde
407,17,merkel_kanzlerin_angela_deutschland
408,-1,mehr_menschen_deutschland_wurde
409,-1,mehr_menschen_deutschland_wurde
410,-1,mehr_menschen_deutschland_wurde
411,0,grenze_belarus_polen_eu
412,1,libyen_sea_bord_schiff
413,-1,mehr_menschen_deutschland_wurde
414,-1,mehr_menschen_deutschland_wurde
415,3,prozent_000_deutschland_mehr
416,4,türkei_eu_erdogan_türkische
417,-1,mehr_menschen_deutschland_wurde
418,-1,mehr_menschen_deutschland_wurde
419,14,eu_kommission_staaten_seehofer
420,4,türkei_eu_erdogan_türkische
421,-1,mehr_menschen_deutschland_wurde
422,-1,mehr_menschen_deutschland_wurde
423,15,taliban_afghanistan_kabul_us
424,8,deutschland_wurde_sagt_familie
425,-1,mehr_menschen_deutschland_wurde
426,-1,mehr_menschen_deutschland_wurde
427,-1,mehr_menschen_deutschland_wurde
428,9,täter_wurde_polizei_mann
429,0,grenze_belarus_polen_eu
430,-1,mehr_menschen_deutschland_wurde
431,18,türkei_griechenland_griechischen_migranten
432,-1,mehr_menschen_deutschland_wurde
433,-1,mehr_menschen_deutschland_wurde
434,1,libyen_sea_bord_schiff
435,-1,mehr_menschen_deutschland_wurde
